brand,category,rankInBrandCategory,productName,dataCompleteness,phaseCStatus,detailCollectionStatus,fetchStatus,detailBlockedReason,detailFailureReason,finish,texture,shadeOptionCount,sellingPoints,suitableFor,oliveYoungStatus,departmentStoreStatus,brandCountry,mallName,price,sourceUrl
롬앤,lip,1,[NEW][투톤멜팅밤] 롬앤 글래스팅 멜팅 밤,metadata_only,not_staged,not_attempted,,,,,,0,,,listed,unknown,Korea,올리브영,7900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000175795
롬앤,lip,2,[NEW크림쉘] 롬앤 글래스팅 컬러 글로스,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,시코르,9880,https://chicor.com/goods/0000000091799?utm_source=naver&utm_medium=cpc&utm_campaign=ep
롬앤,lip,3,롬앤 쉬어 틴티드 스틱,metadata_only,not_staged,not_attempted,,,,,,0,,,listed,unknown,Korea,올리브영,10900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000209885
롬앤,lip,4,롬앤 컬러 립 매트,metadata_only,not_staged,not_attempted,,,,,,0,,,listed,unknown,Korea,올리브영,9900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219477
롬앤,lip,5,[롬앤] [신규 컬러 추가/ BEST] 더 쥬시 래스팅 틴트,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,더블유컨셉,9200,http://www.wconcept.co.kr/Product/301448890?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,6,[롬앤] 글래스팅 멜팅 밤,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,더블유컨셉,9400,http://www.wconcept.co.kr/Product/302200940?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,7,롬앤 글래스팅 컬러 글로스 06 디픈 무어,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,W쇼핑,9000,http://www.w-shopping.co.kr/display/goods/18007220?mediaCode=MC44
롬앤,lip,8,롬앤 듀이풀 워터 틴트,metadata_only,not_staged,not_attempted,,,,,,0,,,listed,unknown,Korea,올리브영,9900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000158893
롬앤,lip,9,롬앤 제로 매트 립스틱,metadata_only,not_staged,not_attempted,,,,,,0,,,listed,unknown,Korea,올리브영,9900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000142217
롬앤,lip,10,[롬앤] [NEW 컬러 추가]제로 벨벳 틴트 단품,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,더블유컨셉,8900,http://www.wconcept.co.kr/Product/301448951?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,11,[물폭탄광] 롬앤 글래스팅 멜팅 밤,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,시코르,9880,https://chicor.com/goods/0000000087194?utm_source=naver&utm_medium=cpc&utm_campaign=ep
롬앤,lip,12,롬앤 글래스팅 워터 틴트,metadata_only,not_staged,not_attempted,,,,,,0,,,listed,unknown,Korea,올리브영,8900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343
롬앤,lip,13,롬앤 글래스팅 컬러 글로스 04 그레이피 웨이,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,W쇼핑,9000,http://www.w-shopping.co.kr/display/goods/18007222?mediaCode=MC44
롬앤,lip,14,롬앤 제로 매트 립스틱 3g,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,롯데ON,4500,https://www.lotteon.com/p/product/LO2221919227?sitmNo=LO2221919227_2221919232&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
롬앤,lip,15,[롬앤] 배어 물 틴트,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,더블유컨셉,8900,http://www.wconcept.co.kr/Product/306054817?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,16,[롬앤] 컬러 립 매트,metadata_only,not_staged,not_attempted,,,,,,0,,,unknown,unknown,Korea,시코르,9880,https://chicor.com/goods/0000000118762?utm_source=naver&utm_medium=cpc&utm_campaign=ep
