candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-55025631188,롬앤,롬앤 컬러 립 매트,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219477,manual_review_required,terms_fetch_failed_requires_manual_review
naver-55568229070,컬러그램,[착색블러]컬러그램 쥬시 잼 블러 틴트 8COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228696,manual_review_required,terms_fetch_failed_requires_manual_review
naver-55580987021,웨이크메이크,[NEW/크림블러셔 기획] 웨이크메이크 소프트 블러링 아이팔레트(단품/기획),shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000180532,manual_review_required,terms_fetch_failed_requires_manual_review
naver-60231168254,웨이크메이크,[NEW/미니틴트 기획] 웨이크메이크 볼드 립 블러 틴트 15COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000258196,manual_review_required,terms_fetch_failed_requires_manual_review
naver-57918539952,롬앤,[롬앤X이나피스퀘어] 롬앤 누 제로 쿠션,base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000164072,manual_review_required,terms_fetch_failed_requires_manual_review
naver-57395588830,롬앤,롬앤 슬라이드 인 싱글,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000212611,manual_review_required,terms_fetch_failed_requires_manual_review
naver-56910537359,페리페라,[페리페라] 페리페라 필터 핏 밀크 톤업 쿠션 12g,base,gate.halfclub.com,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P406572692&partnerid=naverdb,manual_review_required,terms_not_configured
naver-57918549046,롬앤,롬앤 글래스팅 워터 틴트,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343,manual_review_required,terms_fetch_failed_requires_manual_review
naver-49163543139,정샘물 뷰티,[정샘물뷰티] 정샘물 립프레션 시스루 틴트,lip,m.a-bly.com,https://m.a-bly.com/goods/2926732?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2926732,manual_review_required,terms_not_configured
naver-53124255709,컬러그램,[싱글섀도우]컬러그램 싱글 큐브 섀도우 23COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000216667,manual_review_required,terms_fetch_failed_requires_manual_review
naver-56212686933,웨이크메이크,[파우치 기획]웨이크메이크 워터 글로우 코팅밤(단품/기획),base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000209147,manual_review_required,terms_fetch_failed_requires_manual_review
naver-58490394145,컬러그램,[컬러립밤]컬러그램 틴토리 잼 6COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201777,manual_review_required,terms_fetch_failed_requires_manual_review
naver-59999134087,데이지크,[데이지크] 무드 싱글 섀도우 40종,shadow,m.a-bly.com,https://m.a-bly.com/goods/53145563?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=53145563,manual_review_required,terms_not_configured
naver-56318640108,롬앤,[NEW] 롬앤 쥬시 알 치크 단품/기획,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219047,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56424883397,웨이크메이크,[미니틴트 증정]웨이크메이크 워터 블러링 레이어 틴트 14COLOR(단품/기획),lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223250,manual_review_required,robots_fetch_failed_requires_manual_review
naver-54279765774,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 (글로스미니 로즈도즈),cheek,m.a-bly.com,https://m.a-bly.com/goods/45014633?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=45014633,manual_review_required,terms_not_configured
