candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-55025631188,롬앤,롬앤 컬러 립 매트,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219477,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57918549046,롬앤,롬앤 글래스팅 워터 틴트,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57918547816,롬앤,롬앤 듀이풀 워터 틴트,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000158893,manual_review_required,robots_fetch_failed_requires_manual_review
naver-51830547631,롬앤,[롬앤] 더 쥬시 래스팅 틴트,lip,m.a-bly.com,https://m.a-bly.com/goods/34585203?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585203&coupon_sno=50253092,manual_review_required,terms_not_configured
naver-51830652412,롬앤,[롬앤] 더 쥬시 래스팅 틴트 X2,lip,m.a-bly.com,https://m.a-bly.com/goods/34585926?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585926&coupon_sno=50253092,manual_review_required,terms_not_configured
naver-57395588830,롬앤,롬앤 슬라이드 인 싱글,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000212611,manual_review_required,robots_fetch_failed_requires_manual_review
naver-49163536242,롬앤,[롬앤] 베러 댄 팔레트 (+ 총알 브러쉬 ),shadow,m.a-bly.com,https://m.a-bly.com/goods/2199964?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2199964&coupon_sno=50253092,manual_review_required,terms_not_configured
naver-51616189391,롬앤,롬앤 슬라이드 인 싱글 케이스 (섀도우 공용기),shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000213963,manual_review_required,robots_fetch_failed_requires_manual_review
naver-33755400787,롬앤,[4구 팔레트] 롬앤 베러 댄 아이즈,shadow,chicor.com,https://chicor.com/goods/0000000001178?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-28269910687,롬앤,[10구 팔레트] 롬앤 베러 댄 팔레트,shadow,chicor.com,https://chicor.com/goods/0000000040309?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-57918539952,롬앤,[롬앤X이나피스퀘어] 롬앤 누 제로 쿠션,base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000164072,manual_review_required,robots_fetch_failed_requires_manual_review
naver-60300308548,롬앤,롬앤 누 제로 쿠션 15g (본품),base,www.w-shopping.co.kr,http://www.w-shopping.co.kr/display/goods/21477851?mediaCode=MC44,manual_review_required,terms_not_configured
naver-55228086667,롬앤,롬앤 베어 워터 쿠션 20g (본품),base,www.w-shopping.co.kr,http://www.w-shopping.co.kr/display/goods/21477849?mediaCode=MC44,manual_review_required,terms_not_configured
naver-55916644516,롬앤,롬앤 베어 워터 쿠션 20g (리필),base,www.w-shopping.co.kr,http://www.w-shopping.co.kr/display/goods/21477848?mediaCode=MC44,manual_review_required,terms_not_configured
