candidateId,brand,category,rankInBrandCategory,productName,priorityScore,selectedForBatch,missingCoreFieldCount,missingFieldGroups,detailCollectionStatus,fetchStatus,domain,sourceStrategy,sourceUrl
naver-60464969790,라카,lip,1,라카 퍼펙트 트윈립,184.37,yes,4,color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_complete,fetched,chicor.com,prior_detail_adapter,https://chicor.com/goods/5100002077792?utm_source=naver&utm_medium=cpc&utm_campaign=ep
naver-31318154013,페리페라,lip,1,페리페라 [NEW] 잉크 무드 글로이 틴트,181.67,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.lotteimall.com,naver_live_offer_title_rule_adapter,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=1957100092&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare
naver-33681517414,데이지크,lip,1,[데이지크] 쥬시 듀이 틴트,181.58,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/301813862?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-44905853047,클리오,lip,1,클리오 [NEW컬러출시] 크리스탈 글램 밤,181.55,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,display.cjonstyle.com,naver_live_offer_title_rule_adapter,https://display.cjonstyle.com/p/item/2024412267?infl_cd=I0696&utm_medium=pcs&utm_source=naver
naver-87051377445,정샘물 뷰티,lip,1,[7월 슈퍼적립] 정샘물 뉴클래식 매트 립스틱 3.5g,181.52,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,smartstore.naver.com,naver_live_offer_title_rule_adapter,https://smartstore.naver.com/main/products/9506875176
naver-40173750236,3CE,lip,1,[1+1] 3CE 블러 워터 틴트,181.49,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.hmall.com,naver_live_offer_title_rule_adapter,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2151022241&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale
naver-55799295334,에뛰드,lip,1,[에뛰드] 포근 픽싱 틴트,181.46,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1089439700&vodFlag=N&prdseqnum=1089439700&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-58017348260,더샘,lip,1,더샘 새미스 크레마 벨벳 틴트 10colors,181.43,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1098280123&vodFlag=N&prdseqnum=1098280123&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-56999669954,VDL,lip,1,VDL 립스테인 에센셜 글로우 틴트 플레인피치,181.4,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,search.shopping.naver.com,naver_live_offer_title_rule_adapter,https://search.shopping.naver.com/catalog/56999669954
naver-40887390445,뮤드,lip,1,[뮤드] 소프트 블러 틴트 3g,181.22,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/303044923?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-57918549046,롬앤,lip,2,롬앤 글래스팅 워터 틴트 | 올리브영,178.52,yes,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,collected_partial,playwright_rendered,www.oliveyoung.co.kr,prior_detail_adapter,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343
naver-46090066033,페리페라,lip,2,[NEW COLOR] 페리페라 오버 블러 틴트,177.49,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1050493514&vodFlag=N&prdseqnum=1050493514&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-57559079333,VDL,lip,2,VDL 립스테인 컴포트 슬립 11 더티비엔나,177.4,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,search.shopping.naver.com,naver_live_offer_title_rule_adapter,https://search.shopping.naver.com/catalog/57559079333
naver-54648462136,클리오,lip,2,클리오 [NEW] 클리오 볼륨메이트 틴트 (글로스/블러),177.37,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.lotteimall.com,naver_live_offer_title_rule_adapter,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2975513837&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare
naver-48351243046,에뛰드,lip,2,[에뛰드] 디어 달링 마커 틴트 2개,177.28,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1057222501&vodFlag=N&prdseqnum=1057222501&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-58971305083,더샘,lip,2,[현대백화점 커넥트현대] [더샘] 새미스 크레마 벨벳 틴트,177.25,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,hi.thehyundai.com,naver_live_offer_title_rule_adapter,https://hi.thehyundai.com/product/40A2163964?ReferCode=429&utm_source=naver_ep&utm_medium=ep_price
naver-33468426847,하트퍼센트,lip,2,[하트퍼센트] 도트 온 무드 퓨어 글로우 틴트,177.1,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/301797461?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-59979811618,뮤드,lip,2,뮤드 소프트 블러 틴트 3g 4657204,177.04,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2675690170?sitmNo=LO2675690170_2675690171&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-60202637260,네이밍,lip,1,[7월 올영픽/위위시헌쌤픽] 네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors,176.34,yes,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000257218
naver-57918547816,롬앤,lip,3,롬앤 듀이풀 워터 틴트 | 올리브영,174.34,yes,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,collected_partial,playwright_rendered,www.oliveyoung.co.kr,prior_detail_adapter,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000158893
naver-89820662148,정샘물 뷰티,lip,3,정샘물 립프레션 메탈 세럼 글로스 10ml,173.52,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,smartstore.naver.com,naver_live_offer_title_rule_adapter,https://smartstore.naver.com/main/products/12276151432
naver-45396573312,페리페라,lip,3,[2EA]페리페라 잉크 무드 글로이 틴트,173.31,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1007622505&vodFlag=N&prdseqnum=1007622505&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-59026893112,웨이크메이크,lip,3,웨이크메이크 오버 블러링 팟 4.5g,173.25,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2625990178?sitmNo=LO2625990178_2625990179&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-50134169742,데이지크,lip,3,[데이지크] 수플레 컬러 팟,173.22,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/306035805?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-53073130697,클리오,lip,3,[왕실에디션]클리오 크리스탈 글램 틴트,173.19,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1032428272&vodFlag=N&prdseqnum=1032428272&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-40058337109,3CE,lip,3,3CE 블러 워터 틴트+미니아이스위치(랜덤),173.13,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.hmall.com,naver_live_offer_title_rule_adapter,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2150777188&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale
naver-23779728577,에뛰드,lip,3,에뛰드 [과즙틴트] 디어 달링 워터 틴트 /후르츠 워터 틴트,173.1,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO1209312268?sitmNo=LO1209312268_1209312269&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-60387219005,더샘,lip,3,[온누리상품] 더샘 플로우 립 리얼래스팅 틴트,173.07,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2697834144?sitmNo=LO2697834144_2697834145&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-51840641529,네이밍,lip,3,[네이밍] 블러리 하트 립 틴트 듀오,172.98,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/306264184?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-60486157596,투쿨포스쿨,lip,3,143897 TOO COOL FOR SCHOOL 듀 블러리 틴트,172.95,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2702784004?sitmNo=LO2702784004_2702784005&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-54413612806,뮤드,lip,3,[뮤드] mude 글라세 립 틴트 11종 택1,172.86,yes,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2474508903?sitmNo=LO2474508903_2474508904&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-49163543139,정샘물 뷰티,lip,2,[정샘물뷰티] 정샘물 립프레션 시스루 틴트,172.52,yes,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/2926732?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2926732
naver-58490394145,컬러그램,lip,2,[컬러립밤]컬러그램 틴토리 잼 6COLOR,172.46,yes,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201777
