candidateId,brand,category,rankInBrandCategory,productName,query,selectedDiscoverySource,selectedGoodsNo,selectedMatchScore,selectedSourceUrl,candidateDiscoveryCount,currentOliveYoungStatus,missingCoreFields
naver-51616189391,롬앤,shadow,5,롬앤 슬라이드 인 싱글 케이스 (섀도우 공용기) | 올리브영,롬앤 슬라이드 인 싱글 케이스 (섀도우 공용기) | 올리브영 올리브영,purchase_url_goods_no,A000000213963,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213963,1,collected,"shadeOptions,colorFamily,undertone,finish"
naver-59777216016,컬러그램,lip,10,[포켓몬 에디션/메탈참 증정/NEW]컬러그램 누디 블러 스틱 11COLOR,컬러그램 컬러그램 누디 블러 스틱 11COLOR 올리브영,purchase_url_goods_no,A000000252785,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000252785,1,collected,"shadeOptions,colorFamily,undertone,texture"
naver-54509116619,클리오,shadow,1,클리오 소프트 블렌딩 섀도우 스틱,클리오 소프트 블렌딩 섀도우 스틱 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000225194,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225194,1,collected,"shadeOptions,colorFamily,undertone,finish"
naver-59586665614,라카,lip,8,[밀착광] 라카 데빌립 3.7g 12종,라카 데빌립 3.7g 12종 올리브영,purchase_url_goods_no,A000000248721,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248721,1,collected,"colorFamily,undertone,finish"
naver-57918562998,롬앤,cheek,4,롬앤 시스루 베일 라이터 (하이라이터) | 올리브영,롬앤 시스루 베일 라이터 (하이라이터) | 올리브영 올리브영,purchase_url_goods_no,A000000144887,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144887,1,collected,"colorFamily,undertone,finish"
naver-56424895679,웨이크메이크,cheek,2,[숨결 블러셔]웨이크메이크 쉬어 브리즈 블러셔 5g 7COLOR,웨이크메이크 쉬어 브리즈 블러셔 5g 7COLOR 올리브영,purchase_url_goods_no,A000000223261,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223261,1,collected,"shadeOptions,colorFamily,undertone"
naver-55322600441,3CE,shadow,8,3CE 멀티 아이 컬러 팔레트,3CE 멀티 아이 컬러 팔레트 올리브영,purchase_url_goods_no,A000000148589,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148589,1,collected,"undertone,finish"
naver-52098911223,3CE,shadow,2,3CE 아이 스위치,3CE 아이 스위치 올리브영,purchase_url_goods_no,A000000110707,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000110707,1,collected,"undertone,finish"
naver-57498587578,네이밍,lip,2,[7월 올영픽/미지근탠드립] 네이밍 오버 듀 글로시 립 틴트 (+부오이 헤어클립) 21colors,네이밍 오버 듀 글로시 립 틴트 (+부오이 헤어클립) 21colors 올리브영,purchase_url_goods_no,A000000235351,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235351,1,collected,"colorFamily,undertone"
naver-60202637260,네이밍,lip,1,[7월 올영픽/위위시헌쌤픽] 네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors,네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors 올리브영,purchase_url_goods_no,A000000257218,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257218,1,collected,"colorFamily,undertone"
naver-60220140175,라카,cheek,3,[SPF50+] 라카 선 실드 글로이 치크 7g,라카 선 실드 글로이 치크 올리브영,purchase_url_goods_no,A000000257081,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257081,1,collected,"colorFamily,undertone"
naver-60117749141,라카,lip,4,[올영단독컬러] 라카 맥시 글레이어 틴트 미니 2.2g,라카 맥시 글레이어 틴트 미니 올리브영,purchase_url_goods_no,A000000257134,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257134,1,collected,"colorFamily,undertone"
naver-56057064634,라카,cheek,1,라카 러브 실크 블러쉬 6 colors,라카 러브 실크 블러쉬 6 colors 올리브영,purchase_url_goods_no,A000000183448,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183448,1,collected,"colorFamily,undertone"
naver-59099480547,라카,lip,2,라카 팝핑 벌룬 틴트 4.5g 12종,라카 팝핑 벌룬 틴트 4.5g 12종 올리브영,purchase_url_goods_no,A000000212152,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212152,1,collected,"colorFamily,undertone"
naver-60464969790,라카,lip,1,라카 퍼펙트 트윈립,라카 퍼펙트 트윈립 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000255256,0.5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255256,1,collected,"finish,texture"
naver-38119022373,라카,cheek,2,러브 실크 블러쉬,라카 러브 실크 블러쉬 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000183448,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183448,1,collected,"colorFamily,undertone"
naver-59872761697,라카,cheek,5,선 실드 글로이 치크,라카 선 실드 글로이 치크 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000257081,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257081,1,collected,"colorFamily,undertone"
naver-51398369386,라카,lip,9,팝핑 벌룬 틴트,라카 팝핑 벌룬 틴트 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000212152,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212152,1,collected,"colorFamily,undertone"
naver-60278851230,웨이크메이크,lip,6,웨이크메이크 볼드 립 블러 틴트 애프리시티 3호,웨이크메이크 볼드 립 블러 틴트 애프리시티 3호 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000258196,0.6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258196,1,collected,"colorFamily,undertone"
naver-54972530313,웨이크메이크,lip,8,웨이크메이크 워터 블러링 레이어 틴트 콜드하이 8호,웨이크메이크 워터 블러링 레이어 틴트 콜드하이 8호 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000223250,0.67,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223250,1,collected,"colorFamily,undertone"
naver-50894910866,컬러그램,lip,8,[꿀먹광 글로스]컬러그램 탕후루 탱글 꿀로스 3COLOR,컬러그램 탕후루 탱글 꿀로스 3COLOR 올리브영,purchase_url_goods_no,A000000198689,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198689,1,collected,"colorFamily,undertone"
naver-58938409922,컬러그램,lip,7,[순삭커버/입술색 지우개]컬러그램 긱 누드 컬러 커버 틴트 5COLOR,컬러그램 긱 누드 컬러 커버 틴트 5COLOR 올리브영,purchase_url_goods_no,A000000245673,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245673,1,collected,"shadeOptions,finish"
naver-50894739523,컬러그램,lip,9,컬러그램 탕후루 탱글 틴트 미니 듀오 3 COLOR,컬러그램 탕후루 탱글 틴트 미니 듀오 3 COLOR 올리브영,purchase_url_goods_no,A000000201779,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201779,1,collected,"colorFamily,undertone"
naver-53879502034,투쿨포스쿨,shadow,7,투쿨포스쿨 아이 글리츠,투쿨포스쿨 아이 글리츠 올리브영,purchase_url_goods_no,A000000213074,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213074,1,collected,"finish,texture"
naver-60208058322,3CE,shadow,9,[999팔레트] 3CE 멀티 아이 컬러 팔레트 더 텍스타일 8g 단품/기획,3CE 멀티 아이 컬러 팔레트 더 텍스타일 8g 단품/ 올리브영,purchase_url_goods_no,A000000255393,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255393,1,collected,finish
naver-60563309300,데이지크,lip,8,데이지크 쥬시 듀이 틴트 5009718,데이지크 쥬시 듀이 틴트 5009718 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000184327,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184327,1,collected,undertone
naver-60656591370,라카,lip,5,[1분픽싱] 라카 퍼펙트 트윈 립 4.7g+4.2g 10 colors,라카 퍼펙트 트윈 립 4.7g+4.2g 10 colors 올리브영,purchase_url_goods_no,A000000255256,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255256,1,collected,finish
naver-56149298490,라카,shadow,1,[NEW컬러출시] 라카 모노 아이섀도우,라카 모노 아이섀도우 올리브영,purchase_url_goods_no,A000000183472,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183472,1,collected,finish
naver-57918549046,롬앤,lip,2,롬앤 글래스팅 워터 틴트 | 올리브영,롬앤 글래스팅 워터 틴트 | 올리브영 올리브영,purchase_url_goods_no,A000000136343,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000136343,1,collected,finish
naver-57395588830,롬앤,shadow,1,롬앤 슬라이드 인 싱글 | 올리브영,롬앤 슬라이드 인 싱글 | 올리브영 올리브영,purchase_url_goods_no,A000000212611,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212611,1,collected,finish
naver-53880762390,롬앤,cheek,5,쥬시 알 치크,롬앤 쥬시 알 치크 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000219047,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219047,1,collected,finish
naver-48384394360,컬러그램,shadow,6,[5초눈확장/중안부축소]컬러그램 올인원 애교살 메이커 10COLOR,컬러그램 올인원 애교살 메이커 10COLOR 올리브영,purchase_url_goods_no,A000000159062,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159062,1,collected,finish
naver-58490392653,컬러그램,shadow,3,[SNS화제템]컬러그램 틴토리 아이 팔레트 1COLOR,컬러그램 틴토리 아이 팔레트 1COLOR 올리브영,purchase_url_goods_no,A000000201881,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201881,1,collected,finish
naver-55079002640,컬러그램,lip,6,[기존 용기]컬러그램 긱 누드 컬러 커버 틴트,컬러그램 긱 누드 컬러 커버 틴트 올리브영,purchase_url_goods_no,A000000223676,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223676,1,collected,finish
naver-60319654918,컬러그램,shadow,4,[기존용기]컬러그램 눈토리얼 아이 팔레트 3COLOR,컬러그램 눈토리얼 아이 팔레트 3COLOR 올리브영,purchase_url_goods_no,A000000181415,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181415,1,collected,finish
naver-53124255709,컬러그램,shadow,1,[싱글섀도우]컬러그램 싱글 큐브 섀도우 23COLOR,컬러그램 싱글 큐브 섀도우 23COLOR 올리브영,purchase_url_goods_no,A000000216667,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216667,1,collected,finish
naver-56950179922,컬러그램,shadow,2,[위글위글 콜라보/리뉴얼] 컬러그램 눈토리얼 아이 팔레트 5COLOR,컬러그램 눈토리얼 아이 팔레트 5COLOR 올리브영,purchase_url_goods_no,A000000234373,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234373,1,collected,finish
naver-58490394145,컬러그램,lip,2,[컬러립밤]컬러그램 틴토리 잼 6COLOR,컬러그램 틴토리 잼 6COLOR 올리브영,purchase_url_goods_no,A000000201777,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201777,1,collected,finish
naver-56422599825,클리오,shadow,5,클리오 소프트 블렌딩 섀도우 스틱,클리오 소프트 블렌딩 섀도우 스틱 올리브영,purchase_url_goods_no,A000000225194,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225194,1,collected,finish
naver-59379625987,투쿨포스쿨,lip,4,투쿨포스쿨 베일 스킨 틴트 (기획/단품),투쿨포스쿨 베일 스킨 틴트 ( /단품) 올리브영,purchase_url_goods_no,A000000250664,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250664,1,collected,finish
naver-55020007813,투쿨포스쿨,shadow,9,투쿨포스쿨 프로타주 팔레트,투쿨포스쿨 프로타주 팔레트 올리브영,purchase_url_goods_no,A000000205478,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205478,1,collected,finish
naver-46865944535,페리페라,shadow,1,[NEW COLOR] 페리페라 잉크 포켓 섀도우 팔레트,페리페라 잉크 포켓 섀도우 팔레트 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000124399,0.8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000124399,1,collected,finish
naver-52921038936,페리페라,cheek,9,[NEW COLOR]페리페라 시럽피 톡 치크,페리페라 시럽피 톡 치크 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000217779,0.67,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217779,1,collected,finish
naver-46866531403,페리페라,shadow,5,[NEW COLOR]페리페라 올테이크 무드 팔레트,페리페라 올테이크 무드 팔레트 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000183970,0.75,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183970,2,collected,finish
naver-59047228208,페리페라,shadow,3,[애교살 스틱 증정기획] 페리페라 잉크 포켓 섀도우 팔레트 (단품/기획) | 올리브영,페리페라 페리페라 잉크 포켓 섀도우 팔레트 (단품/ ) | 올리브영 올리브영,purchase_url_goods_no,A000000124399,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000124399,1,collected,finish
naver-39672573967,페리페라,shadow,9,페리페라 올테이크 무드 라이크 팔레트,페리페라 올테이크 무드 라이크 팔레트 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000183970,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183970,1,collected,finish
