candidateId,brand,category,rankInBrandCategory,productName,query,selectedDiscoverySource,selectedGoodsNo,selectedMatchScore,selectedSourceUrl,candidateDiscoveryCount,currentOliveYoungStatus,missingCoreFields
naver-60202637260,네이밍,lip,1,[7월 올영픽/위위시헌쌤픽] 네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors,네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors 올리브영,purchase_url_goods_no,A000000257218,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257218,1,collected,"colorFamily,undertone"
naver-60208058322,3CE,shadow,9,[999팔레트] 3CE 멀티 아이 컬러 팔레트 더 텍스타일 8g 단품/기획,3CE 멀티 아이 컬러 팔레트 더 텍스타일 8g 단품/ 올리브영,purchase_url_goods_no,A000000255393,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255393,1,collected,finish
naver-55893784647,3CE,shadow,4,3CE 컬러 그리드 아이섀도우 단품/기획,3CE 컬러 그리드 아이섀도우 단품/ 올리브영,purchase_url_goods_no,A000000230225,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230225,1,collected,
naver-56414744410,3CE,cheek,3,[햇살광블러셔/브러쉬증정기획] 3CE 바운시 블러 밤 단품/기획,3CE 3CE 바운시 블러 밤 단품/ 올리브영,purchase_url_goods_no,A000000230953,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230953,1,collected,
naver-52379892018,VDL,cheek,7,VDL 치크스테인 블러셔 6g,VDL 치크스테인 블러셔 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000184299,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184299,1,collected,
naver-59503960155,VDL,cheek,1,[NEW제형출시] VDL 치크스테인 블러셔 밤 5.5g,VDL 치크스테인 블러셔 밤 올리브영,purchase_url_goods_no,A000000250255,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250255,1,collected,
naver-56891458078,네이밍,lip,4,[네이밍] 오버 듀 글로시 립 틴트,네이밍 오버 듀 글로시 립 틴트 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000235351,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235351,1,collected,
naver-28355832959,네이밍,cheek,2,[네이밍] 플러피 파우더 블러쉬,네이밍 플러피 파우더 블러쉬 올리브영,naver_offer_metadata_matchedPositiveOffers,A000000171371,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171371,1,collected,
naver-59066281851,3CE,lip,7,3CE [NEW 이슬틴트] 미스티 립 베어 (증)미스티 틴트 링,3CE 미스티 립 베어 (증)미스티 틴트 링 올리브영,naver_shopping_search,A000000242018,0.75,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242018,1,collected,finish
naver-40173750236,3CE,lip,1,[1+1] 3CE 블러 워터 틴트,3CE 블러 워터 틴트 올리브영,naver_shopping_search,A000000148591,1.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148591,2,collected,
