catalogItemId,brand,rawTitle,extracted_texture,extracted_finish,extracted_colorFamily,extracted_undertone,priceKrw,purchaseUrl,verdict,correctedField,correctedValue,checkedBy
auradin-seed-e6e4160aaa674d4e,롬앤,[롬앤X이나피스퀘어] 롬앤 누 제로 쿠션,cushion,,,,19900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000164072,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-631a305f7be5c4bb,페리페라,[페리페라] 페리페라 필터 핏 밀크 톤업 쿠션 12g,cushion,,,,17500,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P406572692&partnerid=naverdb,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-4e8fc7a06621eeca,웨이크메이크,[파우치 기획]웨이크메이크 워터 글로우 코팅밤(단품/기획),balm,glossy,,,14000,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000209147,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-5157100d79358b99,데이지크,데이지크 워터 듀이 젤 쿠션 3 colors 4065808,cushion,,,,32400,https://www.lotteon.com/p/product/LO2711153369?sitmNo=LO2711153369_2711153370&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-646a76b092399987,클리오,클리오 킬커버 하이 글로우 파운데이션,,glossy,,,23800,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000188887,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-f7d25b35acfcfb6d,정샘물 뷰티,[정샘물뷰티] 정샘물 스킨 누더 파운데이션 (퍼프 2매+ 물 랩핑 마스크 10ml),,,,,44200,https://m.a-bly.com/goods/2413753?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2413753&coupon_sno=50645611,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-3598d101aaa40677,에뛰드,[리필기획증정] 에뛰드 워터 드롭 필터 쿠션 리필기획,cushion,,,,24350,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1105249810&vodFlag=N&prdseqnum=1105249810&utm_source=price&utm_medium=affiliate&utm_campaign=naver,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-2909bf0139824974,컬러그램,컬러그램 긱 누드 파데프리 스킨 틴트 택1,tint,,nude,,11880,https://www.lotteon.com/p/product/LO2711208253?sitmNo=LO2711208253_2711208256&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-6934789f84307b4f,더샘,더샘 스튜디오 광채 파운데이션 뉴트럴 21호 10ml,,,,neutral,19850,https://www.lotteon.com/p/product/LO2568009336?sitmNo=LO2568009336_2568009337&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-6afd48eddbed72a4,VDL,[VDL] 커버스테인 퍼펙팅 파운데이션 미니 13ml,,,,,17100,https://m.a-bly.com/goods/48760505?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=48760505&coupon_sno=50645611,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-6ebb985623433260,뮤드,[밀착커버/세미매트] 뮤드 소프트 실키 핏 쿠션,cushion,matte,,,28000,https://chicor.com/goods/0000000100219?utm_source=naver&utm_medium=cpc&utm_campaign=ep,drop,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-4382ac1751afa9f3,3CE,3CE 메이크업 픽스 파우더+미니틴트(랜덤),tint,,,,20980,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2150806806&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale,fix,texture,powder,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-82e181e1d7528367,네이밍,[7월 올영픽/사우나쿠션] 네이밍 올데이 마스터 쿠션 리필 기획 (+부오이 파우치),cushion,,,,27200,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000251851,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-5bfe2ec79406b81f,에스쁘아,[1등 글로우 파데/웨딩피치] 에스쁘아 비글로우 파운데이션 30g 10 colors,,glossy,peach,,42000,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000174064,fix,colorFamily,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-2f60485b580bdc15,라카,LAKA 본딩 톤업 베이스3종택1,,,,,17690,https://www.lotteon.com/p/product/LO2712912385?sitmNo=LO2712912385_2712912386&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-7b02d0f767e20650,투쿨포스쿨,투쿨포스쿨 베일 스킨 틴트,tint,,,,23220,https://www.lotteon.com/p/product/LO2650207824?sitmNo=LO2650207824_2650207825&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-a6ac3b65a8aaed05,하트퍼센트,하트퍼센트 하트퍼센트 선 베이스 2종 30ml,,,,,21000,https://www.hemekolab.com/store/products/11345?hmkcid=naver_shopping__bid_91__pid_11345&utm_source=naver&utm_medium=shopping&utm_campaign=sb_heartpercent,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-b2e697aa5d043518,롬앤,[롬앤] 백미 톤업 크림 X2,cream,,,,10900,https://m.a-bly.com/goods/2184886?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2184886&coupon_sno=50645611,drop,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
