priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
81,naver-60316900805,3CE,3CE 핏팅 메쉬 쿠션(본품+리필)+핏팅 메쉬 쿠션 퍼프 2개,base,shadeName | undertone | finish | coverage | skinTypeTags,https://display.cjonstyle.com/p/item/2037034556?infl_cd=I0696&utm_medium=pcs&utm_source=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,display.cjonstyle.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
82,naver-60638630965,데이지크,데이지크 프로 슬림 브로우 카라 6 colors 4066472,brow,colorFamily | texture | intensity,https://www.lotteon.com/p/product/LO2711080076?sitmNo=LO2711080076_2711080077&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
83,naver-51719611413,데이지크,[데이지크] 무드 업 마스카라 롱앤컬,liner,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/301419465?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
84,naver-60387187718,더샘,[온누리상품] 더샘 젤리 블러셔 4.5g 14종 택 1,cheek,colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2697839993?sitmNo=LO2697839993_2697839994&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish,blocked,robots_disallowed,True
85,naver-56424895679,웨이크메이크,[숨결 블러셔]웨이크메이크 쉬어 브리즈 블러셔 5g 7COLOR,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223261,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | intensity,manual_review_required,robots_fetch_failed_requires_manual_review,True
86,naver-57310823090,클리오,클리오 킬 브로우 오토 하드 브로우 펜슬 3개,brow,colorFamily | texture | intensity,https://www.shinsegaetvshopping.com/display/detail/20069116?inMediaCode=EC12&ckwhere=naverep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.shinsegaetvshopping.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
87,naver-57918569105,클리오,클리오 익스트림 젤프레소 펜슬라이너,liner,colorFamily | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000160931,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
88,naver-59503960155,VDL,[NEW제형출시] VDL 치크스테인 블러셔 밤 5.5g,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000250255,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
89,naver-59660675985,데이지크,[데이지크] 미니 블렌딩 무드 치크,cheek,colorFamily | finish | texture,https://m.a-bly.com/goods/67205249?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=67205249,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
90,naver-52466577328,롬앤,[롬앤] 한올 브로우 카라,brow,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/302630289?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
