priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
1,naver-55025631188,롬앤,롬앤 컬러 립 매트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219477,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
2,naver-57918549046,롬앤,롬앤 글래스팅 워터 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
3,naver-57918547816,롬앤,롬앤 듀이풀 워터 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000158893,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
4,naver-51830547631,롬앤,[롬앤] 더 쥬시 래스팅 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://m.a-bly.com/goods/34585203?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585203&coupon_sno=50253092,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
5,naver-50908685874,롬앤,[롬앤] 배어 물 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://www.wconcept.co.kr/Product/306054817?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
6,naver-28780183288,롬앤,[롬앤] [NEW 컬러 추가]제로 벨벳 틴트 단품,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://www.wconcept.co.kr/Product/301448951?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
7,naver-59911417344,롬앤,롬앤 블러 퍼지 틴트 11 푸시아 바이브,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.lotteon.com/p/product/LO2499705617?sitmNo=LO2499705617_2499705618&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | shadeName | shadeSource | texture,blocked,robots_disallowed,True
8,naver-51830652412,롬앤,[롬앤] 더 쥬시 래스팅 틴트 X2,lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://m.a-bly.com/goods/34585926?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585926&coupon_sno=50253092,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
9,naver-55660097850,롬앤,[롬앤] [2개세트] 블러 퍼지 틴트x2,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://www.wconcept.co.kr/Product/305935765?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
10,naver-28780183287,롬앤,[롬앤] [신규 컬러 추가/ BEST] 더 쥬시 래스팅 틴트,lip,shadeName | colorFamily | undertone | finish | texture | intensity,http://www.wconcept.co.kr/Product/301448890?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
11,naver-57395588830,롬앤,롬앤 슬라이드 인 싱글,shadow,palette | colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000212611,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
12,naver-50519987812,롬앤,[롬앤]베러댄팔레트6g,shadow,palette | colorFamily | finish | texture,https://www.shinsegaetvshopping.com/display/detail/70855366?inMediaCode=EC12&ckwhere=naverep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.shinsegaetvshopping.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
13,naver-49163536242,롬앤,[롬앤] 베러 댄 팔레트 (+ 총알 브러쉬 ),shadow,palette | colorFamily | finish | texture,https://m.a-bly.com/goods/2199964?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2199964&coupon_sno=50253092,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
14,naver-52813470842,롬앤,[롬앤] [NEW/런칭특가] 슬라이드 인 싱글 1&1,shadow,palette | colorFamily | finish | texture,http://www.wconcept.co.kr/Product/306391515?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
15,naver-51616189391,롬앤,롬앤 슬라이드 인 싱글 케이스 (섀도우 공용기),shadow,palette | colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000213963,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
16,naver-28780183274,롬앤,[롬앤] 베러 댄 팔레트,shadow,palette | colorFamily | finish | texture,http://www.wconcept.co.kr/Product/301446185?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
17,naver-28780183276,롬앤,[롬앤] 베러 댄 아이즈,shadow,palette | colorFamily | finish | texture,http://www.wconcept.co.kr/Product/301447103?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
