candidateId,brand,productName,category,domain,robotsDecision,detailFetchStarted,collectionStatus,blockedReason,extractedFields,shadeOptionCount,reviewCount,starScore
naver-55025631188,롬앤,롬앤 컬러 립 매트,lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-31318154013,페리페라,페리페라 [NEW] 잉크 무드 글로이 틴트,lip,www.lotteimall.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-55568229070,컬러그램,[착색블러]컬러그램 쥬시 잼 블러 틴트 8COLOR,lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-55580987021,웨이크메이크,[NEW/크림블러셔 기획] 웨이크메이크 소프트 블러링 아이팔레트(단품/기획),shadow,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-60231168254,웨이크메이크,[NEW/미니틴트 기획] 웨이크메이크 볼드 립 블러 틴트 15COLOR,lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-33681517414,데이지크,[데이지크] 쥬시 듀이 틴트,lip,www.wconcept.co.kr,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-57918539952,롬앤,[롬앤X이나피스퀘어] 롬앤 누 제로 쿠션,base,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-57395588830,롬앤,롬앤 슬라이드 인 싱글,shadow,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-44905853047,클리오,클리오 [NEW컬러출시] 크리스탈 글램 밤,lip,display.cjonstyle.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-56910537359,페리페라,[페리페라] 페리페라 필터 핏 밀크 톤업 쿠션 12g,base,gate.halfclub.com,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-46865944535,페리페라,[NEW COLOR] 페리페라 잉크 포켓 섀도우 팔레트,shadow,with.gsshop.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-57918549046,롬앤,롬앤 글래스팅 워터 틴트,lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-49163543139,정샘물 뷰티,[정샘물뷰티] 정샘물 립프레션 시스루 틴트,lip,m.a-bly.com,True,True,blocked_security_challenge,security_challenge_no_bypass,,0,,
naver-53124255709,컬러그램,[싱글섀도우]컬러그램 싱글 큐브 섀도우 23COLOR,shadow,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-40173750236,3CE,[1+1] 3CE 블러 워터 틴트,lip,www.hmall.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-46090066033,페리페라,[NEW COLOR] 페리페라 오버 블러 틴트,lip,with.gsshop.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-56212686933,웨이크메이크,[파우치 기획]웨이크메이크 워터 글로우 코팅밤(단품/기획),base,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-55799295334,에뛰드,[에뛰드] 포근 픽싱 틴트,lip,with.gsshop.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-58490394145,컬러그램,[컬러립밤]컬러그램 틴토리 잼 6COLOR,lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-60638545186,데이지크,데이지크 워터 듀이 젤 쿠션 3 colors 4065808,base,www.lotteon.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-59999134087,데이지크,[데이지크] 무드 싱글 섀도우 40종,shadow,m.a-bly.com,True,True,blocked_security_challenge,security_challenge_no_bypass,,0,,
naver-56318640108,롬앤,[NEW] 롬앤 쥬시 알 치크 단품/기획,cheek,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-58017348260,더샘,더샘 새미스 크레마 벨벳 틴트 10colors,lip,with.gsshop.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-56424883397,웨이크메이크,[미니틴트 증정]웨이크메이크 워터 블러링 레이어 틴트 14COLOR(단품/기획),lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-56989883678,클리오,클리오 BEST 킬커버 파운웨어 쿠션 본품2+리필3+퍼프2매,base,with.gsshop.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-54509116619,클리오,클리오 소프트 블렌딩 섀도우 스틱,shadow,display.cjonstyle.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-54279765774,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 (글로스미니 로즈도즈),cheek,m.a-bly.com,True,True,blocked_security_challenge,security_challenge_no_bypass,,0,,
naver-59404539686,페리페라,페리페라 블러리 톡 치크 5 Colors (+미니치크 증정 기획),cheek,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-54024915841,VDL,[VDL] 립스테인 에센셜 글로우 틴트,lip,m.a-bly.com,True,True,blocked_security_challenge,security_challenge_no_bypass,,0,,
naver-59075048820,데이지크,[미니 틴트 증정] 데이지크 쥬시 듀이 틴트 28 colors (단품/기획),lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-50107317315,롬앤,[롬앤] 베어 워터 쿠션 20g (본품),base,with.gsshop.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-49163477690,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션 리필 x 2개 (더블클린 수정화장패드 x 5매),base,m.a-bly.com,True,True,blocked_security_challenge,security_challenge_no_bypass,,0,,
naver-56149298490,라카,[NEW컬러출시] 라카 모노 아이섀도우,shadow,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-50519987812,롬앤,[롬앤]베러댄팔레트6g,shadow,www.shinsegaetvshopping.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-60084440202,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 아이 팔레트 코어 6종 (아이 팔레트 코어 브러쉬),shadow,m.a-bly.com,True,True,blocked_security_challenge,security_challenge_no_bypass,,0,,
naver-55774345211,컬러그램,[포켓몬 에디션/모공블러셔]컬러그램 틴토리 솜 블러셔 14COLOR,cheek,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-60464969790,라카,[라카 ][new] 퍼펙트 트윈 립 (10종),lip,chicor.com,True,True,collected,,brandFromDetail | productNameFromDetail | representativeShade | reviewCount | shadeOptions | starScore,10,12,5.0
naver-54648462136,클리오,클리오 [NEW] 클리오 볼륨메이트 틴트 (글로스/블러),lip,www.lotteimall.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-60092731367,3CE,3CE 핏팅 메쉬 쿠션(본품+리필)+핏팅 메쉬 쿠션 퍼프 2개,base,www.hmall.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-59067417236,페리페라,페리페라 무드 핏 커버 쿠션 본품 03 내추럴핏,base,www.lotteon.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-59101837312,3CE,3CE 아이 스위치 스틱 [증정]아이스위치 미니(랜덤),shadow,www.lotteon.com,False,False,skipped_robots_disallowed,robots_disallowed,,0,,
naver-57800795317,페리페라,페리페라 올테이크 무드 라이크 팔레트,shadow,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-56456062597,웨이크메이크,[NEW/헬시 치크] 웨이크메이크 쉐이킹 블러 치크 9COLOR,cheek,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
naver-60202637260,네이밍,[7월 올영픽/위위시헌쌤픽] 네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors,lip,www.oliveyoung.co.kr,,False,skipped_preflight_unresolved,robots_fetch_failed_requires_manual_review,,0,,
