catalogItemId,brand,category,field,extractedValue,confidence,evidenceSpan,verdict,checkedBy,note
auradin-seed-9cfedba983db34a0,3CE,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-006b1aeaabc36db9,3CE,cheek,texture,powder,0.8,블러쉬,,,
auradin-seed-8eaabbb9ff017390,3CE,cheek,texture,powder,0.8,블러쉬,,,
auradin-seed-e9518714b3215bbc,3CE,cheek,texture,balm,0.9,블러 밤,,,
auradin-seed-a0bad392ba2fada7,3CE,cheek,texture,balm,0.9,블러 밤,,,
auradin-seed-5f91915acc63a548,3CE,cheek,finish,glossy,0.8,글로우,,,
auradin-seed-5f91915acc63a548,3CE,cheek,texture,powder,0.9,블러쉬,,,
auradin-seed-e11af5acf8c2da47,3CE,cheek,texture,balm,0.9,블러 밤,,,
auradin-seed-40585f23018879b2,3CE,cheek,texture,balm,0.9,블러 밤,,,
auradin-seed-043d87109c1a1b00,3CE,cheek,texture,powder,0.8,블러셔,,,
auradin-seed-36167b4620ad35f9,3CE,liner,texture,liner,0.9,아이라이너,,,
auradin-seed-eef79a2356c172d8,3CE,liner,texture,liner,0.9,아이라이너,,,
auradin-seed-7e2b5600678a4be3,3CE,lip,finish,sheer,0.7,워터 틴트,,,
auradin-seed-7e2b5600678a4be3,3CE,lip,texture,tint,0.9,틴트,,,
auradin-seed-5dcf280df3c0649d,3CE,lip,finish,sheer,0.7,블러,,,
auradin-seed-5dcf280df3c0649d,3CE,lip,texture,tint,0.9,틴트,,,
auradin-seed-c8f2b81809c401f5,3CE,lip,texture,tint,0.9,틴트,,,
auradin-seed-4d5a49451311796c,3CE,lip,texture,tint,0.9,립 스테인,,,
auradin-seed-16bb89cc08d5df3b,3CE,lip,colorFamily,pink,0.7,플러쉬,,,
auradin-seed-16bb89cc08d5df3b,3CE,lip,finish,velvet,0.9,벨벳,,,
auradin-seed-16bb89cc08d5df3b,3CE,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-e3d42490fabba6ed,3CE,lip,finish,sheer,0.7,미스티,,,
auradin-seed-e3d42490fabba6ed,3CE,lip,texture,tint,0.9,틴트,,,
auradin-seed-4d27f592ca9626e7,3CE,lip,finish,sheer,0.7,이슬틴트,,,
