brand,category,candidateCount,queuedCount,targetCount,gap,status
롬앤,lip,100,10,10,0,ready
롬앤,shadow,51,10,10,0,ready
롬앤,base,29,10,10,0,ready
롬앤,cheek,60,10,10,0,ready
롬앤,liner,106,10,10,0,ready
롬앤,brow,14,10,10,0,ready
페리페라,lip,104,10,10,0,ready
페리페라,shadow,100,10,10,0,ready
페리페라,base,190,10,10,0,ready
페리페라,cheek,101,10,10,0,ready
페리페라,liner,97,10,10,0,ready
페리페라,brow,106,10,10,0,ready
컬러그램,lip,99,10,10,0,ready
컬러그램,shadow,100,10,10,0,ready
컬러그램,base,104,10,10,0,ready
컬러그램,cheek,23,10,10,0,ready
컬러그램,liner,55,10,10,0,ready
컬러그램,brow,100,10,10,0,ready
웨이크메이크,lip,61,10,10,0,ready
웨이크메이크,shadow,99,10,10,0,ready
웨이크메이크,base,59,10,10,0,ready
웨이크메이크,cheek,55,10,10,0,ready
웨이크메이크,liner,51,10,10,0,ready
웨이크메이크,brow,84,10,10,0,ready
데이지크,lip,40,10,10,0,ready
데이지크,shadow,94,10,10,0,ready
데이지크,base,200,10,10,0,ready
데이지크,cheek,48,10,10,0,ready
데이지크,liner,177,10,10,0,ready
데이지크,brow,11,10,10,0,ready
클리오,lip,92,10,10,0,ready
클리오,shadow,99,10,10,0,ready
클리오,base,100,10,10,0,ready
클리오,cheek,94,10,10,0,ready
클리오,liner,98,10,10,0,ready
클리오,brow,97,10,10,0,ready
정샘물 뷰티,lip,40,10,10,0,ready
정샘물 뷰티,shadow,55,10,10,0,ready
정샘물 뷰티,base,68,10,10,0,ready
정샘물 뷰티,cheek,76,10,10,0,ready
정샘물 뷰티,liner,10,10,10,0,ready
정샘물 뷰티,brow,11,10,10,0,ready
3CE,lip,99,10,10,0,ready
3CE,shadow,100,10,10,0,ready
3CE,base,25,10,10,0,ready
3CE,cheek,68,10,10,0,ready
3CE,liner,12,10,10,0,ready
3CE,brow,19,10,10,0,ready
에뛰드,lip,89,10,10,0,ready
에뛰드,shadow,71,10,10,0,ready
에뛰드,base,29,10,10,0,ready
에뛰드,cheek,60,10,10,0,ready
에뛰드,liner,41,10,10,0,ready
에뛰드,brow,37,10,10,0,ready
더샘,lip,100,10,10,0,ready
더샘,shadow,100,10,10,0,ready
더샘,base,79,10,10,0,ready
더샘,cheek,100,10,10,0,ready
더샘,liner,100,10,10,0,ready
더샘,brow,100,10,10,0,ready
VDL,lip,228,10,10,0,ready
VDL,shadow,24,10,10,0,ready
VDL,base,99,10,10,0,ready
VDL,cheek,60,10,10,0,ready
VDL,liner,106,10,10,0,ready
VDL,brow,59,10,10,0,ready
라카,lip,100,10,10,0,ready
라카,shadow,74,10,10,0,ready
라카,base,13,10,10,0,ready
라카,cheek,48,10,10,0,ready
라카,liner,97,10,10,0,ready
라카,brow,32,10,10,0,ready
네이밍,lip,79,10,10,0,ready
네이밍,shadow,57,10,10,0,ready
네이밍,base,98,10,10,0,ready
네이밍,cheek,76,10,10,0,ready
네이밍,liner,53,10,10,0,ready
네이밍,brow,34,10,10,0,ready
투쿨포스쿨,lip,11,10,10,0,ready
투쿨포스쿨,shadow,25,10,10,0,ready
투쿨포스쿨,base,36,10,10,0,ready
투쿨포스쿨,cheek,108,10,10,0,ready
투쿨포스쿨,liner,37,10,10,0,ready
투쿨포스쿨,brow,122,10,10,0,ready
하트퍼센트,lip,75,10,10,0,ready
하트퍼센트,shadow,111,10,10,0,ready
하트퍼센트,base,107,10,10,0,ready
하트퍼센트,cheek,20,10,10,0,ready
하트퍼센트,liner,15,10,10,0,ready
하트퍼센트,brow,17,10,10,0,ready
에스쁘아,lip,80,10,10,0,ready
에스쁘아,shadow,26,10,10,0,ready
에스쁘아,base,100,10,10,0,ready
에스쁘아,cheek,42,10,10,0,ready
에스쁘아,liner,25,10,10,0,ready
에스쁘아,brow,95,10,10,0,ready
뮤드,lip,20,10,10,0,ready
뮤드,shadow,23,10,10,0,ready
뮤드,base,160,10,10,0,ready
뮤드,cheek,121,10,10,0,ready
뮤드,liner,15,10,10,0,ready
뮤드,brow,20,10,10,0,ready
