brand,category,candidateCount,queuedCount,targetCount,gap,status,recommendedQueries
롬앤,lip,193,60,60,0,ready,롬앤 립틴트 | 롬앤 립스틱 | 롬앤 글로스
롬앤,shadow,53,53,60,7,partial,롬앤 아이섀도우 | 롬앤 섀도우 팔레트
롬앤,base,37,37,60,23,partial,롬앤 쿠션 | 롬앤 파운데이션 | 롬앤 베이스
롬앤,cheek,62,60,60,0,ready,롬앤 블러셔 | 롬앤 치크
롬앤,liner,7,7,60,53,partial,롬앤 아이라이너 | 롬앤 라이너
롬앤,brow,40,40,60,20,partial,롬앤 아이브로우 | 롬앤 브로우
페리페라,lip,337,60,60,0,ready,페리페라 립틴트 | 페리페라 립스틱 | 페리페라 글로스
페리페라,shadow,115,60,60,0,ready,페리페라 아이섀도우 | 페리페라 섀도우 팔레트
페리페라,base,92,60,60,0,ready,페리페라 쿠션 | 페리페라 파운데이션 | 페리페라 베이스
페리페라,cheek,154,60,60,0,ready,페리페라 블러셔 | 페리페라 치크
페리페라,liner,105,60,60,0,ready,페리페라 아이라이너 | 페리페라 라이너
페리페라,brow,171,60,60,0,ready,페리페라 아이브로우 | 페리페라 브로우
컬러그램,lip,77,60,60,0,ready,컬러그램 립틴트 | 컬러그램 립스틱 | 컬러그램 글로스
컬러그램,shadow,102,60,60,0,ready,컬러그램 아이섀도우 | 컬러그램 섀도우 팔레트
컬러그램,base,10,10,60,50,partial,컬러그램 쿠션 | 컬러그램 파운데이션 | 컬러그램 베이스
컬러그램,cheek,24,24,60,36,partial,컬러그램 블러셔 | 컬러그램 치크
컬러그램,liner,81,60,60,0,ready,컬러그램 아이라이너 | 컬러그램 라이너
컬러그램,brow,62,60,60,0,ready,컬러그램 아이브로우 | 컬러그램 브로우
웨이크메이크,lip,179,60,60,0,ready,웨이크메이크 립틴트 | 웨이크메이크 립스틱 | 웨이크메이크 글로스
웨이크메이크,shadow,100,60,60,0,ready,웨이크메이크 아이섀도우 | 웨이크메이크 섀도우 팔레트
웨이크메이크,base,198,60,60,0,ready,웨이크메이크 쿠션 | 웨이크메이크 파운데이션 | 웨이크메이크 베이스
웨이크메이크,cheek,61,60,60,0,ready,웨이크메이크 블러셔 | 웨이크메이크 치크
웨이크메이크,liner,70,60,60,0,ready,웨이크메이크 아이라이너 | 웨이크메이크 라이너
웨이크메이크,brow,83,60,60,0,ready,웨이크메이크 아이브로우 | 웨이크메이크 브로우
데이지크,lip,66,60,60,0,ready,데이지크 립틴트 | 데이지크 립스틱 | 데이지크 글로스
