candidateId,brand,productName,category,domain,collectionStatus,failureReason,sourceUrl
naver-49163543139,정샘물 뷰티,[정샘물뷰티] 정샘물 립프레션 시스루 틴트,lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/2926732?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2926732
naver-59999134087,데이지크,[데이지크] 무드 싱글 섀도우 40종,shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/53145563?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=53145563
naver-54279765774,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 (글로스미니 로즈도즈),cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/45014633?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=45014633
naver-54024915841,VDL,[VDL] 립스테인 에센셜 글로우 틴트,lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/44228653?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=44228653
naver-49163477690,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션 리필 x 2개 (더블클린 수정화장패드 x 5매),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3093835?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3093835
naver-60084440202,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 아이 팔레트 코어 6종 (아이 팔레트 코어 브러쉬),shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/69321238?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=69321238
naver-60419371058,투쿨포스쿨,[투쿨포스쿨] ONLY ABLY 프로타주 펜슬 / 틴트 / 브로우 / 라이너 외,shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/38022424?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=38022424
naver-49163458340,데이지크,[데이지크] 블렌딩 무드 치크,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/4582150?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=4582150
naver-55400191676,VDL,[VDL] 아이스테인 에센셜 섀도우 듀오,shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/43648475?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=43648475
naver-49163445416,롬앤,[롬앤] 베러 댄 치크,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/2012759?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2012759&coupon_sno=50253092
naver-56354126230,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 블러 (글로스미니 로즈도즈),cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/50435892?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=50435892
naver-59330543110,페리페라,페리페라 시럽피 톡 치크 13 Colors,cheek,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000217779
naver-57535925915,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션(본품+리필),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/34025072?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34025072
naver-59660675985,데이지크,[데이지크] 미니 블렌딩 무드 치크,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/67205249?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=67205249
naver-49163486955,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 브로우 쉐이더 슬림,brow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3245040?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3245040
naver-57918522792,롬앤,롬앤 립매터 | 올리브영,liner,www.oliveyoung.co.kr,failed,no_useful_data,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000105803
naver-49163537648,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 엣지 아이 펜슬,liner,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3244981?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3244981
naver-55627577636,클리오,[NO.1 아이라이너] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너 단품/더블기획,liner,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000198343
naver-49163464884,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 브로우 포마드,brow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3245072?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3245072
naver-49163506150,정샘물 뷰티,[정샘물뷰티] 아티스트 콜 펜 라이너,liner,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/2419339?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2419339
