candidateId,brand,productName,category,domain,collectionStatus,failureReason,sourceUrl
naver-55025631188,롬앤,롬앤 컬러 립 매트,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219477
naver-51830547631,롬앤,[롬앤] 더 쥬시 래스팅 틴트,lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/34585203?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585203&coupon_sno=50253092
naver-51830652412,롬앤,[롬앤] 더 쥬시 래스팅 틴트 X2,lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/34585926?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585926&coupon_sno=50253092
naver-49163536242,롬앤,[롬앤] 베러 댄 팔레트 (+ 총알 브러쉬 ),shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/2199964?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2199964&coupon_sno=50253092
naver-49163445416,롬앤,[롬앤] 베러 댄 치크,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/2012759?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2012759&coupon_sno=50253092
naver-58981432130,페리페라,페리페라 스피디 스키니 브로우 8 Colors,brow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000138671
naver-55568229070,컬러그램,[착색블러]컬러그램 쥬시 잼 블러 틴트 8COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228696
naver-58490394145,컬러그램,[컬러립밤]컬러그램 틴토리 잼 6COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201777
naver-59629361232,컬러그램,[포켓몬 에디션/NEW 컬러]컬러그램 탕후루 탱글 틴트 딥 글레이즈 8COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000245109
naver-54795250114,컬러그램,[립&치크 블러팟]컬러그램 틴토리 블러 잼 4COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000209954
naver-50894793300,컬러그램,[원조탱글광]컬러그램 탕후루 탱글 틴트 17COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000188142
naver-55079002640,컬러그램,[기존 용기]컬러그램 긱 누드 컬러 커버 틴트,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223676
naver-58938409922,컬러그램,[순삭커버/입술색 지우개]컬러그램 긱 누드 컬러 커버 틴트 5COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000245673
naver-50894910866,컬러그램,[꿀먹광 글로스]컬러그램 탕후루 탱글 꿀로스 3COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000198689
naver-50894739523,컬러그램,컬러그램 탕후루 탱글 틴트 미니 듀오 3 COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201779
naver-59777216016,컬러그램,[포켓몬 에디션/메탈참 증정/NEW]컬러그램 누디 블러 스틱 11COLOR,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000252785
naver-53124255709,컬러그램,[싱글섀도우]컬러그램 싱글 큐브 섀도우 23COLOR,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000216667
naver-56950179922,컬러그램,[위글위글 콜라보/리뉴얼] 컬러그램 눈토리얼 아이 팔레트 5COLOR,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000234373
naver-58490392653,컬러그램,[SNS화제템]컬러그램 틴토리 아이 팔레트 1COLOR,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201881
naver-60319654918,컬러그램,[기존용기]컬러그램 눈토리얼 아이 팔레트 3COLOR,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000181415
naver-59777097727,컬러그램,[포켓몬 에디션/NEW]컬러그램 포켓링 아이 팔레트 5COLOR,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000252788
naver-48384394360,컬러그램,[5초눈확장/중안부축소]컬러그램 올인원 애교살 메이커 10COLOR,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000159062
naver-54032289691,컬러그램,[파데프리템]컬러그램 긱 누드 스킨 틴트 4COLOR,base,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000223679
naver-55774345211,컬러그램,[포켓몬 에디션/모공블러셔]컬러그램 틴토리 솜 블러셔 14COLOR,cheek,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228682
